studentID,score_exam1,score_exam2,num_total_activities,num_exams,num_activity1,num_activity2,num_activity3,num_activity4
722,143,143,21,1,4,3,2,0
723,150,162,263,3,195,9,6,49
724,148,148,10,1,2,4,3,0
725,150,153,85,2,46,6,3,26
726,141,141,7,1,5,0,0,0
727,156,156,59,2,41,4,6,2
728,152,152,16,1,2,5,3,3
729,136,136,4,1,0,1,2,0
730,143,143,10,1,6,0,1,2
731,156,156,11,1,1,5,3,1
732,146,148,26,5,10,0,0,2
733,140,151,74,7,43,7,4,1
734,157,157,21,1,0,3,2,0
735,145,153,44,2,33,4,3,1
736,148,148,2,1,0,1,0,0
737,143,153,110,3,42,7,6,19
738,158,158,24,1,4,8,6,3
739,155,155,59,1,25,2,4,27
740,157,170,61,16,16,7,5,15
741,153,153,44,1,24,8,5,1
742,146,153,33,3,10,8,6,6
743,154,159,58,4,51,1,0,0
744,148,151,37,2,14,7,6,6
745,134,152,64,4,30,2,2,5
746,157,161,61,7,37,2,2,12
747,154,161,86,5,56,5,6,11
748,153,153,34,2,22,3,3,0
749,152,152,10,1,5,3,1,0
750,151,152,58,3,2,5,5,6
751,141,158,28,2,11,7,5,3
752,141,141,12,1,6,3,1,1
753,138,138,10,1,0,2,0,0
754,137,155,64,4,21,8,6,24
755,145,151,74,2,65,3,4,0
756,153,164,194,7,100,7,6,29
757,146,146,6,1,1,2,1,1
758,145,145,5,1,0,2,2,0
759,140,140,2,1,0,1,0,0
760,137,137,2,1,0,0,1,0
761,150,154,88,8,57,7,4,8
762,134,149,69,5,41,5,2,16
763,159,160,65,3,35,2,0,16
764,153,166,145,4,64,7,6,23
765,145,145,22,1,9,8,3,1
766,132,132,17,1,12,0,1,0
767,158,161,42,5,5,5,5,19
768,156,156,88,2,27,2,5,25
769,150,150,4,1,0,1,1,0
770,145,152,43,2,27,6,4,0
771,158,158,46,1,0,6,5,4
772,155,155,22,1,12,5,2,0
773,130,130,10,1,4,0,1,0
774,128,149,16,2,14,0,0,0
775,151,156,30,4,7,8,4,6
776,124,124,11,2,0,4,4,1
777,152,152,17,4,12,0,1,0
778,126,126,5,1,0,3,1,0
779,158,162,65,6,32,6,6,14
780,151,151,4,1,0,1,0,0
781,158,160,27,2,12,6,5,2
782,161,163,36,2,11,9,6,7
783,151,151,11,1,0,3,1,0
784,148,148,4,1,0,2,1,0
785,144,155,57,7,27,3,4,7
786,145,145,6,1,0,3,2,0
787,145,145,2,1,0,1,0,0
788,145,156,131,8,66,6,6,36
789,139,139,15,1,11,0,0,2
790,145,145,1,1,0,0,0,0
791,149,156,74,8,50,4,3,0
792,146,146,27,1,4,4,3,2
793,149,157,34,3,17,2,1,2
794,144,164,59,15,29,6,6,1
795,150,152,81,2,45,7,6,7
796,146,146,24,1,0,2,3,0
797,148,152,50,3,25,5,5,7
798,124,124,3,1,0,2,0,0
799,162,171,82,9,25,8,3,33
800,152,160,79,3,33,2,1,38
801,148,160,128,3,77,4,5,32
802,141,141,79,13,30,4,3,1
803,141,141,7,1,1,2,1,1
804,141,141,11,1,7,2,1,0
805,137,142,4,2,0,1,0,0
806,145,162,89,8,62,5,4,4
807,145,145,16,1,9,2,4,0
808,142,143,18,4,2,4,2,0
809,154,154,11,1,7,2,1,0
810,142,142,81,1,61,9,6,4
811,144,152,60,6,18,6,5,22
812,132,134,36,2,6,0,2,0
813,154,156,19,2,2,6,3,6
814,140,152,119,11,66,7,4,29
815,168,176,81,20,40,9,6,2
816,157,157,2,1,0,1,0,0
817,133,149,41,6,25,4,1,0
